primary_language,median_watch,q25_watch,q75_watch,mean_watch,median_files,median_entropy,n
TypeScript,386.0,237.2,922.0,826.6954545454549,141.0,0.4342953264553908,132
Swift,377.0,226.0,626.0,584.1780979827091,62.0,0.1424886914251853,347
CSS,365.0,210.0,562.0,615.1056179775284,82.0,0.7268594104209638,89
Shell,343.0,218.0,582.0,531.2066666666668,45.0,0.2193407795334586,105
Go,324.0,214.0,629.5,570.7695652173915,99.5,0.09071198645438375,322
JavaScript,320.0,216.0,616.0,599.8063664596275,73.0,0.24728384778622495,1288
Java,311.0,211.0,523.5,470.70328317373463,120.0,0.0,731
C++,298.0,206.0,542.8,536.0005555555557,318.0,0.6238703201887119,180
Python,296.0,208.5,488.5,524.920803782506,87.0,0.0884884659097291,423
Objective-C,292.0,206.0,523.5,489.606784660767,94.0,0.121045811590401,339
PHP,270.5,187.2,435.8,395.08415841584156,114.5,0.0341162466365501,202
C,262.5,202.0,491.0,401.5466666666667,196.0,0.598011143562573,150
HTML,255.5,190.8,406.0,519.643650793651,116.5,0.762987283434772,126
Ruby,249.0,192.2,370.0,398.365,106.5,0.08193530172917579,200
C#,238.0,188.2,351.5,306.82608695652175,518.0,0.06924548367862346,92
